dominant_dictionary_topic,dominant_LDA_topic,ticker,quarter,total_mentions,avg_market_impact,sum_market_impact,quarter_total_mentions,mention_percentage,weighted_market_impact
demand_side,0,NEX,2021Q1,1,1.0,1.0,9,0.1111111111111111,0.1111111111111111
demand_side,0,NEX,2021Q2,3,0.0,0.0,6,0.5,0.0
demand_side,0,NEX,2022Q3,1,0.0,0.0,10,0.1,0.0
demand_side,0,PED,2018Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,0,PR,2023Q2,1,2.0,2.0,7,0.14285714285714285,0.2857142857142857
demand_side,0,PR,2024Q4,1,0.0,0.0,2,0.5,0.0
demand_side,0,RIG,2018Q1,1,0.0,0.0,2,0.5,0.0
demand_side,0,SLB,2019Q1,1,1.0,1.0,2,0.5,0.5
demand_side,0,SLB,2022Q3,1,-1.0,-1.0,10,0.1,-0.1
demand_side,0,STR,2010Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,0,STR,2015Q1,1,0.0,0.0,1,1.0,0.0
demand_side,0,STR,2016Q3,1,0.0,0.0,1,1.0,0.0
demand_side,0,STR,2018Q1,1,0.0,0.0,2,0.5,0.0
demand_side,0,STR,2019Q1,1,-1.0,-1.0,2,0.5,-0.5
demand_side,0,STR,2019Q3,1,-1.0,-1.0,2,0.5,-0.5
demand_side,0,STR,2019Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,0,STR,2020Q1,4,-0.5,-2.0,8,0.5,-1.0
demand_side,0,STR,2020Q2,2,-0.5,-1.0,3,0.6666666666666666,-0.6666666666666666
demand_side,0,STR,2020Q3,3,0.0,0.0,5,0.6,0.0
demand_side,0,STR,2020Q4,1,0.0,0.0,5,0.2,0.0
demand_side,0,STR,2021Q1,2,0.0,0.0,9,0.2222222222222222,0.0
demand_side,0,STR,2021Q3,3,0.0,0.0,6,0.5,0.0
demand_side,0,STR,2022Q3,5,-0.2,-1.0,10,0.5,-0.5
demand_side,0,STR,2023Q2,1,0.0,0.0,7,0.14285714285714285,0.0
demand_side,0,STR,2023Q3,1,1.0,1.0,2,0.5,0.5
demand_side,0,TTI,2022Q4,1,0.0,0.0,10,0.1,0.0
demand_side,0,VOC,2001Q4,1,1.0,1.0,1,1.0,1.0
demand_side,0,VTS,2023Q1,1,-2.0,-2.0,5,0.2,-0.4
demand_side,0,VTS,2024Q2,1,0.0,0.0,2,0.5,0.0
demand_side,1,EQT,2022Q1,2,0.0,0.0,2,1.0,0.0
demand_side,1,EQT,2022Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,APA,2001Q3,1,-1.0,-1.0,1,1.0,-1.0
demand_side,2,APA,2013Q2,2,-1.0,-2.0,3,0.6666666666666666,-1.3333333333333333
demand_side,2,APA,2013Q4,1,0.0,0.0,2,0.5,0.0
demand_side,2,APA,2016Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,APA,2018Q3,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,2,APA,2019Q1,2,0.0,0.0,2,1.0,0.0
demand_side,2,APA,2019Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,APA,2020Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,APA,2021Q4,1,0.0,0.0,4,0.25,0.0
demand_side,2,APA,2022Q1,1,-2.0,-2.0,2,0.5,-1.0
demand_side,2,APA,2022Q3,1,0.0,0.0,1,1.0,0.0
demand_side,2,APA,2023Q1,1,0.0,0.0,2,0.5,0.0
demand_side,2,APA,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,APA,2023Q4,1,0.0,0.0,2,0.5,0.0
demand_side,2,APA,2024Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,AR,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,BATL,2013Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,BSM,2019Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,BSM,2021Q1,1,0.0,0.0,5,0.2,0.0
demand_side,2,CRC,2020Q2,1,0.0,0.0,2,0.5,0.0
demand_side,2,CRC,2024Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,EP,2015Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,EQT,2012Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,EQT,2013Q4,1,0.0,0.0,2,0.5,0.0
demand_side,2,EQT,2015Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,EQT,2017Q2,2,0.0,0.0,2,1.0,0.0
demand_side,2,EQT,2018Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,EQT,2018Q4,1,0.0,0.0,5,0.2,0.0
demand_side,2,EQT,2019Q3,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,2,EQT,2020Q3,1,0.0,0.0,1,1.0,0.0
demand_side,2,EQT,2021Q1,2,0.0,0.0,5,0.4,0.0
demand_side,2,EQT,2021Q2,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,2,EQT,2021Q3,1,0.0,0.0,1,1.0,0.0
demand_side,2,EQT,2021Q4,2,0.0,0.0,4,0.5,0.0
demand_side,2,EQT,2022Q1,1,0.0,0.0,2,0.5,0.0
demand_side,2,EQT,2022Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,EQT,2022Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,EQT,2023Q1,1,0.0,0.0,2,0.5,0.0
demand_side,2,EQT,2023Q3,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,2,FANG,2018Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,FANG,2021Q1,1,0.0,0.0,5,0.2,0.0
demand_side,2,HAL,2016Q3,1,-1.0,-1.0,2,0.5,-0.5
demand_side,2,HAL,2018Q4,1,-1.0,-1.0,5,0.2,-0.2
demand_side,2,HAL,2019Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,HP,2001Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2001Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2002Q2,1,0.0,0.0,1,1.0,0.0
