date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2021-05-10,The_Wall_Street_Journal,1,0,1,0,0,1
2016-10-12,The_Wall_Street_Journal,2,0,0,0,0,1
2020-03-09,Financial_Times,7,0,6,1,0,1
2020-04-21,Financial_Times,5,0,6,0,0,2
2016-11-14,Thomson_Reuters,4,0,0,0,0,1
2016-11-14,Thomson_Reuters,4,0,0,0,0,1
2022-03-07,Thomson_Reuters,1,0,0,0,0,1
2022-03-07,Thomson_Reuters,1,0,0,0,0,1
2022-03-07,Thomson_Reuters,1,0,1,0,0,1
2022-03-07,Thomson_Reuters,1,0,1,0,0,1
2022-03-15,Thomson_Reuters,1,0,1,0,0,1
2020-06-13,Thomson_Reuters,0,0,2,0,0,1
2020-06-17,Thomson_Reuters,0,0,2,0,0,1
2020-04-21,Channel_News_Asia,1,0,2,0,0,1
2020-09-01,Thomson_Reuters,0,0,1,0,0,1
2020-09-30,Thomson_Reuters,1,1,2,0,0,1
2020-08-14,Thomson_Reuters,1,0,1,0,0,1
2020-03-09,Thomson_Reuters,2,0,0,0,0,1
2021-06-07,Thomson_Reuters,2,0,0,0,0,1
2020-07-17,Channel_News_Asia,2,0,1,0,0,2
2020-05-11,Thomson_Reuters,1,0,1,0,0,1
2020-06-09,Thomson_Reuters,2,0,1,0,0,1
2020-04-22,Channel_News_Asia,0,1,1,0,0,1
2020-05-01,The_Wall_Street_Journal,1,1,1,0,0,1
2021-02-08,Thomson_Reuters,0,0,1,0,0,1
2020-09-09,Thomson_Reuters,1,0,2,0,0,1
2020-04-01,Thomson_Reuters,1,0,2,0,0,1
2020-04-20,Thomson_Reuters,1,0,2,0,0,1
2020-03-16,Thomson_Reuters,3,0,1,0,0,1
2021-06-07,Thomson_Reuters,2,0,0,0,0,1
2020-04-01,Thomson_Reuters,1,1,2,0,0,2
2020-04-14,Thomson_Reuters,1,0,2,0,0,1
2020-04-14,Thomson_Reuters,1,0,2,0,0,1
2020-03-11,Thomson_Reuters,0,0,3,0,0,1
