date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2024-08-19,seekingalpha,1,0,2,0,0,2,0.18960185,0.0,0.09285573,0.717409,0.0,3,financial_risk
2024-08-09,seekingalpha,1,1,1,0,0,2,0.27891746,0.0,0.08182799,0.63916534,0.0,3,natural_factor
2024-08-11,seekingalpha,0,1,1,0,0,1,0.2575732,0.0,0.03753652,0.70476884,0.0,3,demand_side
2024-08-30,benzinga,1,0,4,0,0,3,0.07209052,0.0,0.3884047,0.52151084,0.017943336,3,financial_risk
2025-02-21,openpr,1,0,0,0,0,1,0.6038894,0.0,0.021972591,0.29763606,0.07645244,0,supply_side
2024-10-24,benzinga,0,1,5,0,1,1,0.08504247,0.0,0.14221035,0.71938914,0.0533455,3,financial_risk
2024-10-24,fool,5,1,4,0,0,2,0.46524674,0.0,0.011443056,0.50706095,0.015496476,3,supply_side
2024-09-26,seekingalpha,0,2,4,0,0,1,0.17199907,0.0,0.10519423,0.7214995,0.0,3,financial_risk
2024-07-09,seekingalpha,0,0,2,0,0,1,0.22197756,0.0,0.0,0.7777424,0.0,3,financial_risk
2024-07-10,investorplace,0,0,1,0,0,2,0.18753937,0.0,0.14058611,0.67163455,0.0,3,natural_factor
2024-12-01,fool,0,0,2,0,0,1,0.119926974,0.0,0.076989464,0.7994819,0.0,3,financial_risk
2024-08-08,investorplace,0,0,0,0,1,1,0.28560925,0.0,0.0,0.68821377,0.025851376,3,esg_regulation
2025-02-25,benzinga,0,0,7,1,0,2,0.010132942,0.0,0.086804174,0.893773,0.0,3,financial_risk
2024-12-20,globenewswire,0,0,0,0,0,1,0.0,0.0,0.35720435,0.6123852,0.029807124,3,natural_factor
2024-12-20,globenewswire_fr,0,0,0,0,0,1,0.0,0.0,0.3572078,0.6123873,0.029801553,3,natural_factor
2025-02-20,therecord,0,0,0,0,0,1,0.74310076,0.0,0.25639093,0.0,0.0,0,natural_factor
2024-11-27,benzinga,1,0,0,0,0,1,0.1256663,0.0,0.057002105,0.81711,0.0,3,supply_side
2024-07-19,seekingalpha,0,3,3,0,1,2,0.21241695,0.0,0.18801029,0.56842273,0.02342285,3,demand_side
2024-12-10,benzinga,0,0,0,0,0,1,0.08306604,0.014099393,0.0695482,0.83311015,0.0,3,natural_factor
2024-12-09,benzinga,1,0,4,0,0,1,0.043851137,0.0,0.28700027,0.6619448,0.0,3,financial_risk
2024-08-10,seekingalpha,0,1,0,0,0,1,0.609925,0.017519502,0.030926343,0.3415494,0.0,0,demand_side
2024-08-30,seekingalpha,2,0,2,0,0,1,0.2309245,0.0,0.031477362,0.7134661,0.024101228,3,supply_side
2024-08-30,seekingalpha,1,0,2,0,0,1,0.11121603,0.0,0.105921775,0.7827543,0.0,3,financial_risk
2024-08-30,seekingalpha,0,0,0,0,1,1,0.041177426,0.0,0.0,0.95814556,0.0,3,esg_regulation
2024-07-21,seekingalpha,3,1,2,0,0,1,0.18481877,0.0,0.039250806,0.7497102,0.026187409,3,supply_side
2024-08-20,yahoo_sg,0,0,4,0,0,1,0.23973094,0.0,0.0,0.7377184,0.015565038,3,financial_risk
2024-10-30,benzinga,1,0,8,1,1,1,0.0,0.0,0.12815443,0.85544604,0.01397554,3,financial_risk
2024-07-10,benzinga,0,0,0,0,0,1,0.0,0.0,0.07048136,0.92850983,0.0,3,natural_factor
2024-07-10,benzinga,0,0,0,0,0,1,0.07003968,0.0,0.09751486,0.8315444,0.0,3,natural_factor
2024-10-30,cision,1,0,6,1,1,1,0.0,0.0,0.12755637,0.8361074,0.029319396,3,financial_risk
2024-12-09,benzinga,3,1,4,1,2,4,0.014903099,0.0,0.35491824,0.32311398,0.30703866,2,financial_risk
2024-10-30,benzinga,1,0,7,1,2,1,0.015056803,0.0,0.0713551,0.91048163,0.0,3,financial_risk
2024-12-09,globenewswire,3,1,4,1,2,4,0.012109596,0.0,0.34998226,0.32668272,0.31119913,2,financial_risk
2024-12-09,globenewswire_fr,3,1,4,1,2,4,0.0121079115,0.0,0.34998333,0.32668316,0.31119925,2,financial_risk
2024-11-01,benzinga,3,1,5,1,0,1,0.0,0.0,0.15317854,0.81910765,0.027657794,3,financial_risk
2024-11-01,cision,3,1,5,1,0,1,0.0,0.0,0.22668363,0.71929854,0.05391222,3,financial_risk
2024-07-20,seekingalpha,2,0,2,0,0,1,0.20302282,0.0,0.09121216,0.7056788,0.0,3,supply_side
2024-08-20,seekingalpha,0,1,3,0,0,1,0.235071,0.0,0.3107121,0.4226028,0.031582534,3,financial_risk
2024-10-29,benzinga,2,1,8,1,1,1,0.0,0.0,0.14514093,0.81995785,0.033968188,3,financial_risk
2024-10-29,globenewswire,2,1,7,1,1,1,0.015631916,0.0,0.13421455,0.80010575,0.050036352,3,financial_risk
2024-10-29,globenewswire_fr,2,1,7,1,1,1,0.015670571,0.0,0.13418676,0.80009735,0.05003389,3,financial_risk
